"x= 0, f(x) = 0, t(x) = -0, Yintra = 0, Yextra = 0, Igx = 0.25"
"x= 91, f(x) = 32.76, t(x) = 22.0412, Yintra = 21.7394, Yextra = 43.7806, Igx = 91.25"
"x= 91.5, f(x) = 31.11, t(x) = 20.9884, Yintra = 20.6158, Yextra = 41.6042, Igx = 91.75"
"x= 92, f(x) = 29.44, t(x) = 19.9293, Yintra = 19.4753, Yextra = 39.4047, Igx = 92.25"
"x= 92.5, f(x) = 27.75, t(x) = 18.8641, Yintra = 18.318, Yextra = 37.182, Igx = 92.75"
"x= 93, f(x) = 26.04, t(x) = 17.7926, Yintra = 17.1437, Yextra = 34.9363, Igx = 93.25"
"x= 93.5, f(x) = 24.31, t(x) = 16.7147, Yintra = 15.9526, Yextra = 32.6674, Igx = 93.75"
"x= 94, f(x) = 22.56, t(x) = 15.6305, Yintra = 14.7448, Yextra = 30.3752, Igx = 94.25"
"x= 94.5, f(x) = 20.79, t(x) = 14.5398, Yintra = 13.5201, Yextra = 28.0599, Igx = 94.75"
"x= 95, f(x) = 19, t(x) = 13.4427, Yintra = 12.2787, Yextra = 25.7213, Igx = 95.25"
"x= 95.5, f(x) = 17.19, t(x) = 12.3389, Yintra = 11.0205, Yextra = 23.3595, Igx = 95.75"
"x= 96, f(x) = 15.36, t(x) = 11.2286, Yintra = 9.74569, Yextra = 20.9743, Igx = 96.25"
"x= 96.5, f(x) = 13.51, t(x) = 10.1116, Yintra = 8.4542, Yextra = 18.5658, Igx = 96.75"
"x= 97, f(x) = 11.64, t(x) = 8.98786, Yintra = 7.14607, Yextra = 16.1339, Igx = 97.25"
"x= 97.5, f(x) = 9.75, t(x) = 7.85731, Yintra = 5.82135, Yextra = 13.6787, Igx = 97.75"
"x= 98, f(x) = 7.84, t(x) = 6.71988, Yintra = 4.48006, Yextra = 11.1999, Igx = 98.25"
"x= 98.5, f(x) = 5.91, t(x) = 5.57551, Yintra = 3.12225, Yextra = 8.69775, Igx = 98.75"
"x= 99, f(x) = 3.96, t(x) = 4.42412, Yintra = 1.74794, Yextra = 6.17206, Igx = 99.25"
"x= 99.5, f(x) = 1.99, t(x) = 3.26564, Yintra = 0.357179, Yextra = 3.62282, Igx = 99.75"
"x= 100, f(x) = -0, t(x) = 2.1, Yintra = -1.05, Yextra = 1.05, Igx = 100.25"
