"x= 0, f(x) = 0, t(x) = -0, Yintra = 0, Yextra = 0, Igx = 0"
"x= 115662, f(x) = 48855.6, t(x) = 40065.6, Yintra = 28822.8, Yextra = 68888.4, Igx = 5.16587e15"
"x= 116626, f(x) = 49206.8, t(x) = 40175.7, Yintra = 29118.9, Yextra = 69294.6, Igx = 5.2086e15"
"x= 117590, f(x) = 49557, t(x) = 40284.8, Yintra = 29414.6, Yextra = 69699.4, Igx = 5.25113e15"
"x= 118554, f(x) = 49906.3, t(x) = 40392.8, Yintra = 29709.9, Yextra = 70102.7, Igx = 5.29347e15"
"x= 119518, f(x) = 50254.7, t(x) = 40499.7, Yintra = 30004.8, Yextra = 70504.5, Igx = 5.33561e15"
"x= 120482, f(x) = 50602.1, t(x) = 40605.5, Yintra = 30299.4, Yextra = 70904.9, Igx = 5.37755e15"
"x= 121445, f(x) = 50948.6, t(x) = 40710.3, Yintra = 30593.5, Yextra = 71303.8, Igx = 5.41928e15"
"x= 122409, f(x) = 51294.2, t(x) = 40814, Yintra = 30887.2, Yextra = 71701.3, Igx = 5.46082e15"
"x= 123373, f(x) = 51638.9, t(x) = 40916.7, Yintra = 31180.6, Yextra = 72097.3, Igx = 5.50215e15"
"x= 124337, f(x) = 51982.7, t(x) = 41018.4, Yintra = 31473.5, Yextra = 72491.9, Igx = 5.54327e15"
"x= 125301, f(x) = 52325.5, t(x) = 41119.1, Yintra = 31765.9, Yextra = 72885, Igx = 5.58418e15"
"x= 126265, f(x) = 52667.4, t(x) = 41218.7, Yintra = 32058, Yextra = 73276.8, Igx = 5.62488e15"
"x= 127228, f(x) = 53008.4, t(x) = 41317.4, Yintra = 32349.7, Yextra = 73667.1, Igx = 5.66537e15"
"x= 128192, f(x) = 53348.4, t(x) = 41415.1, Yintra = 32640.9, Yextra = 74055.9, Igx = 5.70564e15"
"x= 129156, f(x) = 53687.5, t(x) = 41511.8, Yintra = 32931.6, Yextra = 74443.4, Igx = 5.7457e15"
"x= 130120, f(x) = 54025.7, t(x) = 41607.5, Yintra = 33222, Yextra = 74829.5, Igx = 5.78554e15"
"x= 131084, f(x) = 54363, t(x) = 41702.3, Yintra = 33511.9, Yextra = 75214.1, Igx = 5.82517e15"
"x= 132048, f(x) = 54699.3, t(x) = 41796.1, Yintra = 33801.3, Yextra = 75597.4, Igx = 5.86457e15"
"x= 133012, f(x) = 55034.8, t(x) = 41889, Yintra = 34090.3, Yextra = 75979.2, Igx = 5.90376e15"
"x= 133975, f(x) = 55369.2, t(x) = 41980.9, Yintra = 34378.8, Yextra = 76359.7, Igx = 5.94272e15"
"x= 134939, f(x) = 55702.8, t(x) = 42071.9, Yintra = 34666.9, Yextra = 76738.8, Igx = 5.98145e15"
"x= 135903, f(x) = 56035.5, t(x) = 42162, Yintra = 34954.4, Yextra = 77116.5, Igx = 6.01996e15"
"x= 136867, f(x) = 56367.2, t(x) = 42251.2, Yintra = 35241.6, Yextra = 77492.8, Igx = 6.05825e15"
"x= 137831, f(x) = 56698, t(x) = 42339.5, Yintra = 35528.2, Yextra = 77867.7, Igx = 6.0963e15"
"x= 138795, f(x) = 57027.8, t(x) = 42426.9, Yintra = 35814.4, Yextra = 78241.3, Igx = 6.13413e15"
"x= 139759, f(x) = 57356.8, t(x) = 42513.4, Yintra = 36100.1, Yextra = 78613.5, Igx = 6.17173e15"
"x= 140722, f(x) = 57684.8, t(x) = 42599, Yintra = 36385.3, Yextra = 78984.3, Igx = 6.20909e15"
"x= 141686, f(x) = 58011.9, t(x) = 42683.8, Yintra = 36670, Yextra = 79353.8, Igx = 6.24622e15"
"x= 142650, f(x) = 58338.1, t(x) = 42767.7, Yintra = 36954.2, Yextra = 79721.9, Igx = 6.28312e15"
"x= 143614, f(x) = 58663.3, t(x) = 42850.7, Yintra = 37238, Yextra = 80088.6, Igx = 6.31979e15"
"x= 144578, f(x) = 58987.6, t(x) = 42932.9, Yintra = 37521.2, Yextra = 80454, Igx = 6.35622e15"
"x= 145542, f(x) = 59311, t(x) = 43014.2, Yintra = 37803.9, Yextra = 80818.1, Igx = 6.39241e15"
"x= 146506, f(x) = 59633.5, t(x) = 43094.7, Yintra = 38086.1, Yextra = 81180.8, Igx = 6.42836e15"
"x= 147469, f(x) = 59955, t(x) = 43174.3, Yintra = 38367.8, Yextra = 81542.2, Igx = 6.46408e15"
"x= 148433, f(x) = 60275.6, t(x) = 43253.2, Yintra = 38649, Yextra = 81902.2, Igx = 6.49955e15"
"x= 149397, f(x) = 60595.3, t(x) = 43331.2, Yintra = 38929.7, Yextra = 82260.9, Igx = 6.53479e15"
"x= 150361, f(x) = 60914.1, t(x) = 43408.4, Yintra = 39209.9, Yextra = 82618.3, Igx = 6.56978e15"
"x= 151325, f(x) = 61231.9, t(x) = 43484.8, Yintra = 39489.5, Yextra = 82974.3, Igx = 6.60453e15"
"x= 152289, f(x) = 61548.8, t(x) = 43560.4, Yintra = 39768.6, Yextra = 83329, Igx = 6.63904e15"
"x= 153252, f(x) = 61864.8, t(x) = 43635.2, Yintra = 40047.2, Yextra = 83682.4, Igx = 6.6733e15"
"x= 154216, f(x) = 62179.9, t(x) = 43709.2, Yintra = 40325.3, Yextra = 84034.5, Igx = 6.70732e15"
"x= 155180, f(x) = 62494, t(x) = 43782.5, Yintra = 40602.8, Yextra = 84385.3, Igx = 6.7411e15"
"x= 156144, f(x) = 62807.2, t(x) = 43855, Yintra = 40879.8, Yextra = 84734.7, Igx = 6.77462e15"
"x= 157108, f(x) = 63119.5, t(x) = 43926.7, Yintra = 41156.2, Yextra = 85082.9, Igx = 6.8079e15"
"x= 158072, f(x) = 63430.9, t(x) = 43997.6, Yintra = 41432.1, Yextra = 85429.7, Igx = 6.84094e15"
"x= 159036, f(x) = 63741.3, t(x) = 44067.8, Yintra = 41707.4, Yextra = 85775.2, Igx = 6.87372e15"
"x= 159999, f(x) = 64050.8, t(x) = 44137.2, Yintra = 41982.2, Yextra = 86119.4, Igx = 6.90626e15"
"x= 160963, f(x) = 64359.4, t(x) = 44205.9, Yintra = 42256.5, Yextra = 86462.4, Igx = 6.93854e15"
"x= 161927, f(x) = 64667.1, t(x) = 44273.8, Yintra = 42530.2, Yextra = 86804, Igx = 6.97058e15"
"x= 162891, f(x) = 64973.8, t(x) = 44341, Yintra = 42803.3, Yextra = 87144.3, Igx = 7.00237e15"
"x= 163855, f(x) = 65279.6, t(x) = 44407.4, Yintra = 43075.9, Yextra = 87483.4, Igx = 7.0339e15"
"x= 164819, f(x) = 65584.5, t(x) = 44473.2, Yintra = 43347.9, Yextra = 87821.1, Igx = 7.06518e15"
"x= 165783, f(x) = 65888.5, t(x) = 44538.2, Yintra = 43619.4, Yextra = 88157.6, Igx = 7.09621e15"
"x= 166746, f(x) = 66191.5, t(x) = 44602.5, Yintra = 43890.3, Yextra = 88492.8, Igx = 7.12699e15"
"x= 167710, f(x) = 66493.6, t(x) = 44666.1, Yintra = 44160.6, Yextra = 88826.7, Igx = 7.15752e15"
"x= 168674, f(x) = 66794.8, t(x) = 44729, Yintra = 44430.3, Yextra = 89159.3, Igx = 7.18779e15"
